Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines\abrinal01,SG,24,OKC,6,0,18.3,1.3,3.3,0.4,1,2.2,0.462,0.3,1.2,0.286,0.55,0.3,0.3,1,0.5,2.2,2.7,0.3,0.8,0.3,0.2,1.8,4
2,Steven Adams\adamsst01,C,24,OKC,6,6,33.3,4.5,7.7,0.587,0,0,,4.5,7.7,0.587,0.587,1.5,2.2,0.692,3.2,4.3,7.5,1.5,0.7,0.7,0.7,2.5,10.5
3,Bam Adebayo\adebaba01,C,20,MIA,5,0,15.4,1.4,3,0.467,0,0.2,0,1.4,2.8,0.5,0.467,0.6,2.8,0.214,1.8,2.2,4,0,0,0.4,0.4,1.6,3.4
4,LaMarcus Aldridge\aldrila01,C,32,SAS,5,5,35.4,7.4,16,0.463,0.6,1,0.6,6.8,15,0.453,0.481,8.2,8.4,0.976,2.6,6.6,9.2,2.4,0.6,0.4,1.8,1.8,23.6
5,Al-Farouq Aminu\aminual01,PF,27,POR,4,4,32.8,6.8,13,0.519,3.3,7.5,0.433,3.5,5.5,0.636,0.644,0.5,0.5,1,3,6,9,1.3,1,0.5,1.5,2,17.3
6,Justin Anderson\anderju01,SF,24,PHI,7,0,4.7,0.4,1.1,0.375,0.3,1,0.286,0.1,0.1,1,0.5,0,0,,0.1,1.1,1.3,0,0.1,0,0.3,1.1,1.1
7,Kyle Anderson\anderky01,SF,24,SAS,5,1,14.6,2.4,4,0.6,0,0.8,0,2.4,3.2,0.75,0.6,0.6,0.8,0.75,1,1.6,2.6,0.6,1.2,0.2,0.6,2,5.4
8,Ryan Anderson\anderry01,PF,29,HOU,11,0,8.6,0.6,1.8,0.35,0.5,1.4,0.333,0.2,0.5,0.4,0.475,0,0,,0.4,0.8,1.2,0.5,0.3,0.1,0.3,0.9,1.7
9,Giannis Antetokounmpo\antetgi01,PF,23,MIL,7,7,40,9.9,17.3,0.57,0.6,2,0.286,9.3,15.3,0.607,0.587,5.4,7.9,0.691,1.1,8.4,9.6,6.3,1.4,0.9,2.4,4,25.7
10,Carmelo Anthony\anthoca01,PF,33,OKC,6,6,32.3,4.5,12,0.375,1,4.7,0.214,3.5,7.3,0.477,0.417,1.8,2.5,0.733,0.5,5.2,5.7,0.3,1.7,0.7,1,2.3,11.8
11,OG Anunoby\anunoog01,SF,20,TOR,10,10,23.8,2.9,5.2,0.558,1.3,2.9,0.448,1.6,2.3,0.696,0.683,0.8,1.1,0.727,0.9,1.2,2.1,0.7,0.6,0.4,0.6,2.3,7.9
12,Trevor Ariza\arizatr01,SF,32,HOU,17,17,34.2,2.9,8.2,0.36,1.5,5.4,0.286,1.4,2.8,0.5,0.453,1.4,1.8,0.742,0.5,3.3,3.8,1.3,1.1,0.1,0.6,2.6,8.8
13,Luke Babbitt\babbilu01,SF,28,MIA,2,0,1.5,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,0,0,0,0,0,0,0,0
14,Wade Baldwin\baldwwa01,PG,21,POR,4,0,4.8,0.3,1,0.25,0.3,0.3,1,0,0.8,0,0.375,0.3,0.5,0.5,0,0.8,0.8,0.8,0.3,0.3,0.8,0.3,1
15,Jerryd Bayless\bayleje01,SG,29,PHI,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
16,Aron Baynes\baynear01,C,31,BOS,19,12,20.5,2.4,4.7,0.506,0.6,1.2,0.478,1.8,3.5,0.515,0.567,0.7,0.9,0.722,2.4,3.8,6.2,1,0.2,0.6,0.4,2.3,6
17,Bradley Beal\bealbr01,SG,24,WAS,6,6,36,8.2,18,0.454,3.5,7.5,0.467,4.7,10.5,0.444,0.551,3.3,3.8,0.87,0.3,3,3.3,2.8,1.2,0.3,2.5,3.2,23.2
18,Marco Belinelli\belinma01,SG,31,PHI,10,0,27.3,4.3,10.6,0.406,1.6,4.6,0.348,2.7,6,0.45,0.481,2.7,3.1,0.871,0.1,2,2.1,2,0.7,0,0.4,2,12.9
19,Jordan Bell\belljo01,C,23,GSW,17,0,10.2,1,1.9,0.531,0,0.1,0,1,1.8,0.548,0.531,0.4,0.8,0.5,0.9,1.9,2.8,0.9,0.4,0.5,0.4,1.1,2.4
20,Davis Bertans\bertada01,PF,25,SAS,5,0,16.4,0.6,3.6,0.167,0.6,3.2,0.188,0,0.4,0,0.25,1.6,2.2,0.727,0.2,2,2.2,1.2,0.4,0,0.2,2,3.4
21,Nemanja Bjelica\bjeline01,PF,29,MIN,5,0,9.4,1.4,3.2,0.438,0.8,1.4,0.571,0.6,1.8,0.333,0.563,1,1.4,0.714,0.8,2.2,3,0.6,0.6,0,0.2,1.2,4.6
22,Tarik Black\blackta01,C,26,HOU,7,0,2.7,0.1,0.6,0.25,0,0,,0.1,0.6,0.25,0.25,0,0,,0.3,0.6,0.9,0.3,0,0.1,0.1,0.7,0.3
23,Eric Bledsoe\bledser01,PG,28,MIL,7,7,32.1,5.3,12,0.44,1,3.1,0.318,4.3,8.9,0.484,0.482,2,2.9,0.7,0.4,3.1,3.6,3.7,1,0.9,2.1,2.7,13.6
24,Bojan Bogdanovic\bogdabo02,SF,28,IND,7,7,34,4.6,11.6,0.395,2.4,6.4,0.378,2.1,5.1,0.417,0.5,0.9,1.4,0.6,0.1,3.3,3.4,1.9,0.9,0,1.9,3.3,12.4
